source,sec30.grupo1.nodo1,sec30.grupo2.nodo2,sec30.grupo3.nodo3,sec30.grupo4.nodo4,sec30.grupo5.nodo5,sec30.grupo6.nodo6,sec30.grupo7.nodo7,sec30.grupo8.nodo8,sec30.grupo9.nodo9,sec30.grupo10.nodo10,sec30.grupo11.nodo11
sec30.grupo1.nodo1,,21,26,19,15,17,4,11,25,7,12
sec30.grupo2.nodo2,21,,10,17,24,29,17,20,25,14,28
sec30.grupo3.nodo3,26,10,,23,14,36,22,15,24,21,31
sec30.grupo4.nodo4,19,17,23,,18,29,15,8,8,14,24
sec30.grupo5.nodo5,15,24,14,18,,27,11,18,10,14,22
sec30.grupo6.nodo6,17,29,36,29,27,,16,21,37,15,5
sec30.grupo7.nodo7,4,17,22,15,11,16,,7,21,3,11
sec30.grupo8.nodo8,11,20,15,8,18,21,7,,16,6,16
sec30.grupo9.nodo9,25,25,24,8,10,37,21,16,,22,32
sec30.grupo10.nodo10,7,14,21,14,14,15,3,6,22,,14
sec30.grupo11.nodo11,12,28,31,24,22,5,11,16,32,14,
